class,image_path,name,xmax,xmin,ymax,ymin
4.0,cbf698696830be6deffac683379f5f1f.jpg,CONSTRUCTION_ROAD,712.0,355.0,269.0,146.0
3.0,674bc35e35d80de9818d07e0920b6f98.jpg,GARBAGE,400.0,343.0,194.0,156.0
3.0,674bc35e35d80de9818d07e0920b6f98.jpg,GARBAGE,483.0,431.0,197.0,162.0
3.0,674bc35e35d80de9818d07e0920b6f98.jpg,GARBAGE,207.0,118.0,196.0,146.0
3.0,674bc35e35d80de9818d07e0920b6f98.jpg,GARBAGE,824.0,767.0,195.0,157.0
3.0,674bc35e35d80de9818d07e0920b6f98.jpg,GARBAGE,696.0,595.0,202.0,144.0
3.0,674bc35e35d80de9818d07e0920b6f98.jpg,GARBAGE,371.0,306.0,196.0,152.0
3.0,9ab9f0d186a58d85f647954eb9a3680d.jpg,GARBAGE,414.0,361.0,266.0,223.0
3.0,c84d1ce282ecb04608fce1ba2ba3ec4d.jpg,GARBAGE,103.0,10.0,334.0,273.0
3.0,c84d1ce282ecb04608fce1ba2ba3ec4d.jpg,GARBAGE,445.0,290.0,385.0,290.0
3.0,c84d1ce282ecb04608fce1ba2ba3ec4d.jpg,GARBAGE,675.0,569.0,383.0,313.0
3.0,c84d1ce282ecb04608fce1ba2ba3ec4d.jpg,GARBAGE,776.0,591.0,325.0,228.0
0.0,6ad16a6419750f245b37bef7107d0f66.jpg,GRAFFITI,514.0,455.0,211.0,173.0
0.0,6ad16a6419750f245b37bef7107d0f66.jpg,GRAFFITI,790.0,681.0,211.0,132.0
0.0,6ad16a6419750f245b37bef7107d0f66.jpg,GRAFFITI,666.0,583.0,222.0,164.0
0.0,6ad16a6419750f245b37bef7107d0f66.jpg,GRAFFITI,705.0,634.0,222.0,150.0
7.0,a6781594f95fb8b4c0c85bc41b4449fd.jpg,BAD_BILLBOARD,888.0,758.0,182.0,110.0
7.0,a6781594f95fb8b4c0c85bc41b4449fd.jpg,BAD_BILLBOARD,463.0,301.0,174.0,94.0
